Cadera_ps,Cadera_fex,Cadera_adab,MusloDerecho_ps,MusloDerecho_fex,MusloDerecho_adab,EspinilleraDerecha_ps,EspinilleraDerecha_fex,EspinilleraDerecha_adab,PieDerecha_ps,PieDerecha_fex,PieDerecha_adab,MusloIzquierdo_ps,MusloIzquierdo_fex,MusloIzquierdo_adab,EspinilleraIzquierda_ps,EspinilleraIzquierda_fex,EspinilleraIzquierda_adab,PieIzquierdo_ps,PieIzquierdo_fex,PieIzquierdo_adab
 7.65, 7.94, 0.69, 2.28,-18.19, 0.76, 3.32,14.88, 0.11, 0.35,-5.83, 0.62, 3.47,-21.66,-5.40, 5.56,19.65,13.24, 0.68,-6.52,-3.83
 7.65, 7.94, 0.69, 2.28,-18.19, 0.76, 3.32,14.88, 0.11, 0.35,-5.83, 0.62, 3.47,-21.66,-5.40, 5.56,19.65,13.24, 0.68,-6.52,-3.83
 7.94, 9.34, 1.19, 2.28,-18.19, 0.76, 3.32,14.88, 0.11, 0.35,-5.83, 0.62, 3.47,-21.66,-5.40, 5.56,19.65,13.24, 0.68,-6.52,-3.83
 7.94, 9.34, 1.19, 2.28,-18.19, 0.76, 3.32,14.88, 0.11, 0.58,-6.94, 0.82, 3.47,-21.66,-5.40, 5.56,19.65,13.24, 0.68,-6.52,-3.83
 7.94, 9.34, 1.19, 2.28,-18.19, 0.76, 3.32,14.88, 0.11, 0.58,-6.94, 0.82, 3.47,-21.66,-5.40, 5.56,19.65,13.24, 0.41,-7.40,-4.50
 7.94, 9.34, 1.19, 2.28,-18.19, 0.76, 3.32,14.88, 0.11, 0.58,-6.94, 0.82, 3.32,-24.91,-6.44, 5.56,19.65,13.24, 0.41,-7.40,-4.50
 7.94, 9.34, 1.19, 2.28,-18.19, 0.76, 3.95,18.48,-0.47, 0.58,-6.94, 0.82, 3.32,-24.91,-6.44, 5.56,19.65,13.24, 0.41,-7.40,-4.50
 7.94, 9.34, 1.19, 2.28,-18.19, 0.76, 3.95,18.48,-0.47, 0.58,-6.94, 0.82, 3.32,-24.91,-6.44, 6.93,22.32,14.90, 0.41,-7.40,-4.50
 8.27,10.83, 1.65, 2.28,-18.19, 0.76, 3.95,18.48,-0.47, 0.58,-6.94, 0.82, 3.32,-24.91,-6.44, 6.93,22.32,14.90, 0.41,-7.40,-4.50
 8.27,10.83, 1.65, 2.28,-18.19, 0.76, 3.95,18.48,-0.47, 0.84,-8.32, 0.95, 3.32,-24.91,-6.44, 6.93,22.32,14.90, 0.41,-7.40,-4.50
 8.27,10.83, 1.65, 2.28,-18.19, 0.76, 3.95,18.48,-0.47, 0.84,-8.32, 0.95, 3.32,-24.91,-6.44, 6.93,22.32,14.90, 0.36,-8.41,-5.13
 8.27,10.83, 1.65, 2.28,-18.19, 0.76, 3.95,18.48,-0.47, 0.84,-8.32, 0.95, 3.40,-28.45,-7.43, 6.93,22.32,14.90, 0.36,-8.41,-5.13
 8.27,10.83, 1.65, 2.28,-18.19, 0.76, 3.72,20.13,-0.84, 0.84,-8.32, 0.95, 3.40,-28.45,-7.43, 6.93,22.32,14.90, 0.36,-8.41,-5.13
 8.27,10.83, 1.65, 2.28,-18.19, 0.76, 3.72,20.13,-0.84, 0.84,-8.32, 0.95, 3.40,-28.45,-7.43, 8.05,25.26,16.85, 0.36,-8.41,-5.13
 8.27,10.83, 1.65, 1.11,-26.41, 1.39, 3.72,20.13,-0.84, 0.84,-8.32, 0.95, 3.40,-28.45,-7.43, 8.05,25.26,16.85, 0.36,-8.41,-5.13
 8.61,12.34, 2.04, 1.11,-26.41, 1.39, 3.72,20.13,-0.84, 0.84,-8.32, 0.95, 3.40,-28.45,-7.43, 8.05,25.26,16.85, 0.36,-8.41,-5.13
 8.61,12.34, 2.04, 1.11,-26.41, 1.39, 3.72,20.13,-0.84, 1.01,-9.92, 0.99, 3.40,-28.45,-7.43, 8.05,25.26,16.85, 0.36,-8.41,-5.13
 8.61,12.34, 2.04, 1.11,-26.41, 1.39, 3.72,20.13,-0.84, 1.01,-9.92, 0.99, 3.40,-28.45,-7.43, 8.05,25.26,16.85, 0.57,-9.40,-6.01
 8.61,12.34, 2.04, 1.11,-26.41, 1.39, 3.72,20.13,-0.84, 1.01,-9.92, 0.99, 3.70,-32.20,-8.32, 8.05,25.26,16.85, 0.57,-9.40,-6.01
 8.61,12.34, 2.04, 1.11,-26.41, 1.39, 5.06,27.38,-2.73, 1.01,-9.92, 0.99, 3.70,-32.20,-8.32, 8.05,25.26,16.85, 0.57,-9.40,-6.01
 8.61,12.34, 2.04, 1.11,-26.41, 1.39, 5.06,27.38,-2.73, 1.01,-9.92, 0.99, 3.70,-32.20,-8.32, 9.12,28.44,18.88, 0.57,-9.40,-6.01
 8.61,12.34, 2.04, 1.27,-30.67, 2.22, 5.06,27.38,-2.73, 1.01,-9.92, 0.99, 3.70,-32.20,-8.32, 9.12,28.44,18.88, 0.57,-9.40,-6.01
 8.99,13.69, 2.31, 1.27,-30.67, 2.22, 5.06,27.38,-2.73, 1.01,-9.92, 0.99, 3.70,-32.20,-8.32, 9.12,28.44,18.88, 0.57,-9.40,-6.01
 8.99,13.69, 2.31, 1.27,-30.67, 2.22, 5.06,27.38,-2.73, 1.06,-11.72, 1.02, 3.70,-32.20,-8.32, 9.12,28.44,18.88, 0.57,-9.40,-6.01
 8.99,13.69, 2.31, 1.27,-30.67, 2.22, 5.06,27.38,-2.73, 1.06,-11.72, 1.02, 3.70,-32.20,-8.32, 9.12,28.44,18.88, 0.79,-10.33,-7.01
 8.99,13.69, 2.31, 1.27,-30.67, 2.22, 5.06,27.38,-2.73, 1.06,-11.72, 1.02, 4.38,-35.38,-8.95, 9.12,28.44,18.88, 0.79,-10.33,-7.01
 8.99,13.69, 2.31, 1.27,-30.67, 2.22, 4.40,32.18,-3.96, 1.06,-11.72, 1.02, 4.38,-35.38,-8.95, 9.12,28.44,18.88, 0.79,-10.33,-7.01
 8.99,13.69, 2.31, 1.27,-30.67, 2.22, 4.40,32.18,-3.96, 1.06,-11.72, 1.02, 4.38,-35.38,-8.95, 9.86,31.24,20.95, 0.79,-10.33,-7.01
 8.99,13.69, 2.31, 1.02,-34.94, 3.33, 4.40,32.18,-3.96, 1.06,-11.72, 1.02, 4.38,-35.38,-8.95, 9.86,31.24,20.95, 0.79,-10.33,-7.01
 9.49,14.99, 2.44, 1.02,-34.94, 3.33, 4.40,32.18,-3.96, 1.06,-11.72, 1.02, 4.38,-35.38,-8.95, 9.86,31.24,20.95, 0.79,-10.33,-7.01
 9.49,14.99, 2.44, 1.02,-34.94, 3.33, 4.40,32.18,-3.96, 1.35,-13.62, 1.26, 4.38,-35.38,-8.95, 9.86,31.24,20.95, 0.79,-10.33,-7.01
 9.49,14.99, 2.44, 1.02,-34.94, 3.33, 4.40,32.18,-3.96, 1.35,-13.62, 1.26, 4.38,-35.38,-8.95, 9.86,31.24,20.95, 0.93,-11.31,-7.87
 9.49,14.99, 2.44, 1.02,-34.94, 3.33, 4.40,32.18,-3.96, 1.35,-13.62, 1.26, 4.83,-38.48,-9.30, 9.86,31.24,20.95, 0.93,-11.31,-7.87
 9.49,14.99, 2.44, 1.02,-34.94, 3.33, 3.71,37.19,-5.49, 1.35,-13.62, 1.26, 4.83,-38.48,-9.30, 9.86,31.24,20.95, 0.93,-11.31,-7.87
 9.49,14.99, 2.44, 1.02,-34.94, 3.33, 3.71,37.19,-5.49, 1.35,-13.62, 1.26, 4.83,-38.48,-9.30,11.00,34.13,22.79, 0.93,-11.31,-7.87
 9.49,14.99, 2.44, 0.41,-38.89, 4.34, 3.71,37.19,-5.49, 1.35,-13.62, 1.26, 4.83,-38.48,-9.30,11.00,34.13,22.79, 0.93,-11.31,-7.87
10.11,16.30, 2.50, 0.41,-38.89, 4.34, 3.71,37.19,-5.49, 1.35,-13.62, 1.26, 4.83,-38.48,-9.30,11.00,34.13,22.79, 0.93,-11.31,-7.87
10.11,16.30, 2.50, 0.41,-38.89, 4.34, 3.71,37.19,-5.49, 1.77,-15.61, 1.43, 4.83,-38.48,-9.30,11.00,34.13,22.79, 0.93,-11.31,-7.87
10.11,16.30, 2.50, 0.41,-38.89, 4.34, 3.71,37.19,-5.49, 1.77,-15.61, 1.43, 4.83,-38.48,-9.30,11.00,34.13,22.79, 0.92,-12.50,-8.68
10.11,16.30, 2.50, 0.41,-38.89, 4.34, 3.71,37.19,-5.49, 1.77,-15.61, 1.43, 5.87,-42.03,-9.53,11.00,34.13,22.79, 0.92,-12.50,-8.68
10.11,16.30, 2.50, 0.41,-38.89, 4.34, 3.78,41.82,-6.96, 1.77,-15.61, 1.43, 5.87,-42.03,-9.53,11.00,34.13,22.79, 0.92,-12.50,-8.68
10.11,16.30, 2.50, 0.41,-38.89, 4.34, 3.78,41.82,-6.96, 1.77,-15.61, 1.43, 5.87,-42.03,-9.53,12.06,37.72,25.05, 0.92,-12.50,-8.68
10.11,16.30, 2.50, 0.35,-42.56, 5.38, 3.78,41.82,-6.96, 1.77,-15.61, 1.43, 5.87,-42.03,-9.53,12.06,37.72,25.05, 0.92,-12.50,-8.68
10.71,17.56, 2.69, 0.35,-42.56, 5.38, 3.78,41.82,-6.96, 1.77,-15.61, 1.43, 5.87,-42.03,-9.53,12.06,37.72,25.05, 0.92,-12.50,-8.68
